"","","","","","","",""
"TABLE 1","","","","","","",""
"","","","","","","",""
"","model","accuracy","roc_auc","f1","recall","precision","area_under_pr"
"0","catboost","0.8742 ± ( 0.0030 )","0.9297 ± ( 0.0012 )","0.7148 ± ( 0.0063 )","0.6545 ± ( 0.0082 )","0.7875 ± ( 0.0107 )","0.8321 ± ( 0.0036 )"
"1","xgb","0.8733 ± ( 0.0031 )","0.9285 ± ( 0.0017 )","0.7135 ± ( 0.0075 )","0.6550 ± ( 0.0096 )","0.7836 ± ( 0.0085 )","0.8300 + ( 0.0047 )"
"2","categoryembedding","0.8018 ± ( 0.0177 )","0.9077 ± ( 0.0037 )","0.6782 ± ( 0.0141 )","0.8649 ± ( 0.0241 )","0.5590 ± ( 0.0278 )","0.7620 ± ( 0.0124 )"
"3","mlp","0.8519 ± ( 0.0022 )","0.9074 ± ( 0.0034 )","0.6647 ± ( 0.0057 )","0.6097 ± ( 0.0148 )","0.7313 ± ( 0.0124 )","0.7679 ± ( 0.0100 )"
"4","gandalf","0.8049 ± ( 0.0150 )","0.9073 ± ( 0.0041 )","0.6784 ± ( 0.0080 )","0.8541 ± ( 0.0505 )","0.5655 ± ( 0.0299 )","0.7650 ± ( 0.0100 )"
"5","resnet","0.8298 ± ( 0.0079 )","0.9045 ± ( 0.0038 )","0.4941 ± ( 0.0465 )","0.3482 ± ( 0.0505 )","0.8675 ± ( 0.0229 )","0.7661 ± ( 0.0094 )"
"6","tabtransformer","0.7856 ± ( 0.0310 )","0.8879 ± ( 0.0345 )","0.6559 ± ( 0.0410 )","0.8452 ± ( 0.0386 )","0.5363 ± ( 0.0403 )","0.7195 ± ( 0.0788 )"
"7","s1dcnn","0.8173 ± ( 0.0110 )","0.8740 ± ( 0.0125 )","0.6660 ± ( 0.0072 )","0.7563 ± ( 0.0364 )","0.5972 ± ( 0.0264 )","0.6690+ ( 0.0108 )"
"8","gate","0.7920 ± ( 0.0255 )","0.8731 ± ( 0.0535 )","0.6212 ± ( 0.0905 )","0.7574 ± ( 0.2179 )","0.5719 ± ( 0.0656 )","0.7059 ± ( 0.0835 )"
"9","fttransformer","0.5883 ± ( 0.2838 )","0.8243 ± ( 0.1469 )","0.5706 ± ( 0.1491 )","0.9040 ± ( 0.0807 )","0.4502 ± ( 0.1718 )","0.6509 ± ( 0.1963 )"
"10","tabnet","0.7775 ± ( 0.0462 )","0.7965 ± ( 0.1588 )","0.5259 ± ( 0.2489 )","0.6512 ± ( 0.3168 )","0.4785 ± ( 0.1385 )","0.5887 ± ( 0.2185 )"
"11","autoint","0.7718 ± ( 0.0235 )","0.5824 ± ( 0.1611 )","0.1420 ± ( 0.2698 )","0.1639 ± ( 0.3205 )","0.3181 ± ( 0.4106 )","0.3445 ± ( 0.2017 )"
