"","","","",""
"TABLE 1","","","",""
"","","","",""
"","model","mse","r2_score","rmse"
"0","catboost","0.2058 ± ( 0.0106 )","0.8454 ± ( 0.0085 )","0.4535 ± ( 0.0118 )"
"1","xgb","0.2135 ± ( 0.0069 )","0.8396 ± ( 0.0063 )","0.4620 ± ( 0.0075 )"
"2","mlp","0.2976 ± ( 0.0169 )","0.7765 ± ( 0.0112 )","0.5453 ± ( 0.0155 )"
"3","s1dcnn","0.3009 ± ( 0.0130 )","0.7741 ± ( 0.0066 )","0.5484 ± ( 0.0119 )"
"4","resnet","0.3068 ± ( 0.0087 )","0.7695 ± ( 0.0073 )","0.5538 ± ( 0.0078 )"
"5","gandalf","0.3402 ± ( 0.0245 )","0.7444 ± ( 0.0195 )","0.5829 ± ( 0.0215 )"
"6","categoryembedding","0.3521 ± ( 0.0110 )","0.7355 ± ( 0.0100 )","0.5933 ± ( 0.0093 )"
"7","gate","0.3851 ± ( 0.0268 )","0.7107 ± ( 0.0199 )","0.6202 ± ( 0.0221 )"
"8","fttransformer","0.3901 ± ( 0.0234 )","0.7069 ± ( 0.0171 )","0.6243 ± ( 0.0189 )"
"9","autoint","0.4057 ± ( 0.0183 )","0.6953 ± ( 0.0114 )","0.6368 ± ( 0.0143 )"
"10","tabnet","0.4195 ± ( 0.0278 )","0.6849 ± ( 0.0203 )","0.6473 ± ( 0.0219 )"
"11","tabtransformer","0.5432 ± ( 0.0255 )","0.5920 ± ( 0.0184 )","0.7368 ± ( 0.0172 )"
