"","","",""
"TABLE 1","","",""
"","","",""
"","model","accuracy","f1"
"0","autoint","0.9800 ± ( 0.0267 )","0.9800 ± ( 0.0267 )"
"1","fttransformer","0.9800 + ( 0.0267 )","0.9798 ± ( 0.0269 )"
"2","catboost","0.9600 ± ( 0.0249 )","0.9598 ± ( 0.0251 )"
"3","tabtransformer","0.9600 ± ( 0.0490 )","0.9599 ± ( 0.0491 )"
"4","xgb","0.9600 + ( 0.0249 )","0.9598 ± ( 0.0251 )"
"5","gandalf","0.9467 ± ( 0.0542 )","0.9463 ± ( 0.0546 )"
"6","s1dcnn","0.9333 ± ( 0.0471 )","0.9330 ± ( 0.0470 )"
"7","gate","0.9133 ± ( 0.1258 )","0.8911 + ( 0.1696 )"
"8","resnet","0.9133 ± ( 0.0806 )","0.9127 ± ( 0.0808 )"
"9","categoryembedding","0.9067 ± ( 0.1062 )","0.9014 ± ( 0.1148 )"
"10","tabnet","0.7067 ± ( 0.0827 )","0.6874 ± ( 0.0872 )"
"11","mlp","0.6667 ± ( 0.0816 )","0.6408 ± ( 0.0961 )"
