,model,accuracy,f1
0,autoint,0.99 ± (0.02),0.99 ± (0.02)
1,fttransformer,0.98 ± (0.03),0.98 ± (0.03)
2,gandalf,0.98 ± (0.03),0.98 ± (0.03)
3,node,0.98 ± (0.03),0.98 ± (0.03)
4,tabtransformer,0.98 ± (0.04),0.98 ± (0.04)
5,categoryembedding,0.97 ± (0.02),0.97 ± (0.02)
6,resnet,0.97 ± (0.04),0.97 ± (0.04)
7,tabnet,0.97 ± (0.03),0.97 ± (0.03)
8,xgb,0.97 ± (0.02),0.97 ± (0.03)
9,s1dcnn,0.97 ± (0.04),0.97 ± (0.04)
10,gate,0.97 ± (0.04),0.97 ± (0.04)
11,mlp,0.97 ± (0.04),0.97 ± (0.04)
12,catboost,0.96 ± (0.04),0.96 ± (0.04)
